Time,Opening price,Highest price,Lowest price,Closing price,Trading volume,Trading volume in USDT,Trading volume in quote currency,Pair
1751807700000,108219.98,108448.93,108219.98,108448.92,68.16886294344,7385177.385985214351,7385177.385985214351,BTCUSDT
1751808600000,108448.92,108685.71,108448.92,108673.01,194.46328456454,21119406.127160096532,21119406.127160096532,BTCUSDT
1751809500000,108673.01,109100,108673.01,108772.33,275.35612869192,29988514.128904711521,29988514.128904711521,BTCUSDT
1751810400000,108772.33,108894.41,108727.01,108812.39,97.82727070256,10643151.722277593247,10643151.722277593247,BTCUSDT
1751811300000,108812.39,108919.54,108792,108892.99,51.16312874108,5568911.591329087616,5568911.591329087616,BTCUSDT
1751812200000,108892.99,109032.91,108617.88,108733.58,73.72178388668,8021683.10931937264,8021683.10931937264,BTCUSDT
1751813100000,108733.58,108940.44,108644,108928.6,51.2150400542,5572961.046099643016,5572961.046099643016,BTCUSDT
1751814000000,108928.6,108989.63,108848,108901.24,28.80425189788,3137430.273997324229,3137430.273997324229,BTCUSDT
1751814900000,108901.24,108901.25,108731,108833.01,58.22351881694,6334978.173873948282,6334978.173873948282,BTCUSDT
1751815800000,108833.01,108853,108677.69,108762.99,15.42065975816,1676847.474533172783,1676847.474533172783,BTCUSDT
1751816700000,108762.99,108900,108704,108898.89,10.440595966,1135782.182878824719,1135782.182878824719,BTCUSDT
1751817600000,108898.89,108950.78,108727,108742.01,39.74550920354,4326251.344811713939,4326251.344811713939,BTCUSDT
1751818500000,108742.01,108864.9,108742,108820,9.41958526414,1025083.305875546567,1025083.305875546567,BTCUSDT
1751819400000,108820,108820,108719,108754.01,17.95742867176,1953225.973293913379,1953225.973293913379,BTCUSDT
1751820300000,108754.01,108863.44,108720.24,108849.77,7.96940660014,866916.817750008352,866916.817750008352,BTCUSDT
1751821200000,108849.77,108849.77,108736,108776.01,11.41824208588,1242238.272508861164,1242238.272508861164,BTCUSDT
1751822100000,108776.01,108856.43,108770,108856.41,9.31850454534,1014028.312476575463,1014028.312476575463,BTCUSDT
1751823000000,108856.41,108951.09,108856.41,108951.09,18.84136384848,2051866.397188902597,2051866.397188902597,BTCUSDT
1751823900000,108951.09,108963.67,108880,108914.26,6.6681418866,726180.304380183067,726180.304380183067,BTCUSDT
1751824800000,108914.26,108930.37,108768,108809.01,8.60193601202,936106.331169950362,936106.331169950362,BTCUSDT
1751825700000,108809.01,108810.77,108500,108573.7,26.17428985846,2842746.974679710312,2842746.974679710312,BTCUSDT
1751826600000,108573.7,108625,108389.98,108412.36,20.42824552866,2216829.519687733034,2216829.519687733034,BTCUSDT
1751827500000,108412.36,108475.86,108289.01,108475.85,61.05194928438,6616233.568453488041,6616233.568453488041,BTCUSDT
1751828400000,108475.85,108639.88,108475.85,108559.08,8.33588792974,905025.18528352682,905025.18528352682,BTCUSDT
1751829300000,108559.08,108559.08,108475,108475,3.9484593519,428458.905973513359,428458.905973513359,BTCUSDT
1751830200000,108475,108520.15,108341,108370.52,10.0949146889,1094343.198086801942,1094343.198086801942,BTCUSDT
1751831100000,108370.52,108542.56,108311,108542.56,8.40520579254,911369.375381228494,911369.375381228494,BTCUSDT
1751832000000,108542.56,108816.01,108542.55,108796.97,23.91085131852,2599597.987404882861,2599597.987404882861,BTCUSDT
1751832900000,108796.97,108837.21,108714,108714,13.22015435052,1438153.14248776084,1438153.14248776084,BTCUSDT
1751833800000,108714,108766.94,108714,108760.46,8.89346238678,967094.540746004999,967094.540746004999,BTCUSDT
1751834700000,108760.46,108835.42,108679.01,108679.01,7.34274475426,798511.999739358369,798511.999739358369,BTCUSDT
1751835600000,108679.01,108918.95,108662.47,108918.95,17.66709544932,1922344.70856372819,1922344.70856372819,BTCUSDT
1751836500000,108918.95,109291.08,108918.65,109291.07,49.8884206359,5443886.119453204236,5443886.119453204236,BTCUSDT
1751837400000,109291.07,109675,109227.01,109426.9,138.45063755336,15162636.435256388728,15162636.435256388728,BTCUSDT
1751838300000,109426.9,109426.91,109059,109210,106.19776889328,11600082.290556922926,11600082.290556922926,BTCUSDT
1751839200000,109210,109524.46,109209,109389.01,150.05907352878,16415472.106075870698,16415472.106075870698,BTCUSDT
1751840100000,109389.01,109500,109319,109442.01,30.65808501826,3354977.625524095983,3354977.625524095983,BTCUSDT
1751841000000,109442.01,109453.88,109275,109329.38,41.13322961126,4498529.3903375596,4498529.3903375596,BTCUSDT
1751841900000,109329.38,109363.25,109228,109235.55,13.35278545142,1459308.324370923486,1459308.324370923486,BTCUSDT
1751842800000,109235.55,109241.43,109000,109239.68,74.64482206002,8144527.926971610656,8144527.926971610656,BTCUSDT
1751843700000,109239.68,109239.68,109048,109048.47,12.84476518832,1401946.424215036574,1401946.424215036574,BTCUSDT
1751844600000,109048.47,109153,108983.2,109153,15.86209312122,1729776.629639906309,1729776.629639906309,BTCUSDT
1751845500000,109153,109272.84,109139,109208,8.88379884392,970283.531463133738,970283.531463133738,BTCUSDT
1751846400000,109208,109257.5,109103.01,109257.5,29.86108684674,3259514.160280689583,3259514.160280689583,BTCUSDT
1751847300000,109257.5,109277.98,108992,109008.79,20.84043689126,2273062.281301156612,2273062.281301156612,BTCUSDT
1751848200000,109008.79,109043.89,108836.2,108859,29.71637160916,3237779.857514193966,3237779.857514193966,BTCUSDT
